train_acc,train_loss,val_acc,val_loss
0.06503157894736843,4.1162195,0.1208,3.755708
0.14216842105263158,3.5716455,0.16479999999999997,3.4159122
0.21343157894736842,3.1904428,0.222,3.1583016
0.2716631578947369,2.8740578,0.2876,2.8318996
0.32612631578947365,2.584234,0.3428,2.522193
0.37077894736842104,2.3771653,0.3604,2.404629
0.4031368421052632,2.2179232,0.3796,2.3322823
0.4300210526315789,2.0908709,0.41,2.221028
0.45296842105263163,1.9954998,0.41960000000000003,2.1777973
0.47280000000000005,1.9030255,0.43920000000000003,2.0879192
0.4914736842105263,1.8268356,0.4488000000000001,2.10245
0.5068,1.757125,0.4496,2.0686567
0.5248421052631579,1.69399,0.4664,1.9066155
0.5401684210526315,1.6355197,0.488,1.8473461
0.5497052631578948,1.5916879,0.504,1.8873644
0.5600000000000002,1.5456212,0.5088,1.8494214
0.5709684210526317,1.5033966,0.504,1.8230867
0.5794526315789474,1.4694657,0.522,1.7440033
0.5862526315789475,1.4337721,0.53,1.7143543
0.5973052631578948,1.3960968,0.5032,1.8054564
0.6022736842105263,1.3798667,0.5348,1.6901219
0.6130105263157895,1.3412942,0.516,1.8136473
0.6173684210526316,1.3112919,0.5184000000000001,1.8005996
0.6244842105263158,1.2821004,0.5276000000000001,1.7503912
0.6303578947368421,1.263207,0.5559999999999999,1.6565161
0.6390105263157894,1.2330735,0.554,1.7026927
0.6446736842105263,1.2095734,0.5660000000000001,1.6459798
0.6506947368421052,1.1879747,0.5728,1.644769
0.6567157894736843,1.1624663,0.5612,1.6827816
0.6622105263157894,1.1493078,0.5676000000000001,1.6809525
0.6648000000000001,1.125302,0.5696,1.6876426
0.6686315789473685,1.1082455,0.5892000000000001,1.5862659
0.6767368421052631,1.0857887,0.5828,1.6357722
0.6793684210526316,1.0680543,0.562,1.6886548
0.6848210526315789,1.0522872,0.574,1.7107956
0.6910526315789474,1.0305096,0.5808,1.651995
0.694421052631579,1.0179563,0.586,1.6383078
0.7019999999999998,0.99797314,0.6115999999999999,1.5525534
0.7025684210526316,0.98525023,0.5783999999999999,1.6246456
0.7069894736842105,0.9680168,0.5836,1.6535643
0.7115157894736842,0.9523511,0.5996,1.5506396
0.7193052631578948,0.92635506,0.5871999999999999,1.6884642
0.7223157894736841,0.91532177,0.6012000000000001,1.6340384
0.7293894736842105,0.89159906,0.5948,1.6074797
0.7282105263157894,0.88956875,0.606,1.6177855
0.7317263157894738,0.8737873,0.5984,1.6293112
0.74,0.849207,0.6064,1.6005881
0.7451578947368422,0.8338028,0.5932,1.6749605
0.7434736842105263,0.82596797,0.5964,1.6481972
0.7473052631578947,0.81582135,0.6043999999999999,1.676716
0.7530736842105263,0.7943654,0.6048,1.6498771
0.7585263157894737,0.77946347,0.5980000000000001,1.715881
0.7585052631578947,0.7692068,0.614,1.6658542
0.7645052631578947,0.75726163,0.6095999999999999,1.6693994
0.7685473684210525,0.7409217,0.6148,1.6444674
0.7723157894736843,0.7306094,0.6079999999999999,1.6748918
0.7759157894736842,0.717013,0.6032,1.7015524
0.7805052631578947,0.7019301,0.6048,1.6460057
0.7840210526315788,0.692713,0.6152000000000001,1.6709169
0.7831157894736842,0.6867288,0.6012,1.7535503
0.7905052631578947,0.6628423,0.6128,1.678358
0.7913684210526316,0.6557603,0.6032,1.741066
0.7981894736842104,0.63864243,0.6175999999999999,1.7357695
0.7990315789473683,0.6321348,0.6168,1.7208589
0.8034736842105263,0.6195663,0.61,1.7326084
0.8065263157894738,0.6099828,0.6064,1.7604221
0.8116631578947368,0.590658,0.6236,1.7432677
0.810442105263158,0.58940065,0.6128,1.7972603
0.8190736842105263,0.5673219,0.6232,1.7605189
0.8197263157894737,0.565311,0.6176,1.7728255
0.8206526315789474,0.5606022,0.6128000000000001,1.7670184
0.8259157894736844,0.5441521,0.614,1.8060918
0.8280000000000001,0.5380909,0.6227999999999999,1.819247
0.8285473684210525,0.52903944,0.6212,1.8142186
0.8322315789473683,0.5247202,0.6168,1.7902504
0.8333052631578948,0.5184851,0.622,1.8038765
0.8356842105263158,0.5103914,0.6188,1.8064754
0.8401473684210526,0.49697185,0.6252,1.8203447
0.8433894736842106,0.4890538,0.622,1.8330632
0.8432842105263157,0.48184302,0.6208,1.8303565
0.8464631578947368,0.47509927,0.6188,1.8631835
0.848757894736842,0.47015548,0.6216,1.848453
0.8487789473684211,0.46568084,0.628,1.834206
0.8515578947368421,0.4584261,0.6164000000000001,1.8697486
0.854421052631579,0.4533031,0.6228000000000001,1.8701677
0.8523578947368421,0.45561358,0.6212000000000001,1.8698449
0.8559789473684212,0.44401947,0.6272000000000001,1.8636334
0.8568842105263158,0.44506025,0.6244,1.8843819
0.8555368421052633,0.43875977,0.626,1.8730503
0.8592210526315789,0.4345892,0.6235999999999999,1.884183
0.8592,0.43851253,0.6196,1.8901184
0.8592631578947368,0.43159556,0.6256,1.8907082
0.8641263157894736,0.42114335,0.6215999999999999,1.8788565
0.8605684210526315,0.4261195,0.6252,1.8841808
0.8642526315789475,0.41949108,0.6232000000000001,1.8882729
0.8651789473684212,0.4194907,0.6248,1.8911253
0.8655999999999999,0.41488546,0.6228,1.8917617
0.8679999999999999,0.41202322,0.6232000000000001,1.9041286
0.8673684210526316,0.4122364,0.6224,1.9042321
0.8675789473684211,0.4112326,0.6212,1.8821652
0.8675578947368422,0.4103522,0.6244,1.8980098
